id;Nome;Count;Points;lat;lon
6; Rodoviária;15268;Ínicio;-15.79393;-47.881529
6; Rodoviária;18018;Fim;-15.79393;-47.881529
45; Centro Olímpico;12789;Ínicio;-15.765133;-47.857989
45; Centro Olímpico;14916;Fim;-15.765133;-47.857989
44; ICC Sul;12366;Fim;-15.765966;-47.867058
41; Instituto de Artes;17172;Ínicio;-15.763955;-47.870486
41; Instituto de Artes;18159;Fim;-15.763955;-47.870486
39; CLN 406;14618;Ínicio;-15.765826;-47.876935
39; CLN 406;14785;Fim;-15.765826;-47.876935
15; Brasil 21;16080;Ínicio;-15.794724;-47.89523
15; Brasil 21;16173;Fim;-15.794724;-47.89523
11; Rodoviária 2;13347;Ínicio;-15.794622;-47.881721
11; Rodoviária 2;15481;Fim;-15.794622;-47.881721
